
Solver will write file: ss_24F104.lp

Reading data files.[    0.03]
Creating Temoa model instance.[    0.18]
Solving.[    0.17]
Calculating reporting variables and formatting results.[    0.88]
Model name: Temoa
Objective function value (TotalCost): 36535.631200002914
Non-zero variable values:
    152.64492              V_CapacityAvailableByPeriodAndTech[utopia,2010,IMPHCO1]
      3.5236094            V_CapacityAvailableByPeriodAndTech[utopia,2010,IMPHYD]
     33.167327             V_CapacityAvailableByPeriodAndTech[utopia,2010,RHE]
     59.835644             V_CapacityAvailableByPeriodAndTech[utopia,2010,RHO]
     18.90189              V_CapacityAvailableByPeriodAndTech[utopia,2010,RL1]
      0.1                  V_CapacityAvailableByPeriodAndTech[utopia,2010,SRE]
      4.76                 V_CapacityAvailableByPeriodAndTech[utopia,2010,TXD]
      6.93                 V_CapacityAvailableByPeriodAndTech[utopia,2010,TXG]
      2.8948051687499996   V_EmissionActivityByPeriodAndProcess[utopia,1990,co2,IMPDSL1,1990]
      1.4935065            V_EmissionActivityByPeriodAndProcess[utopia,1990,co2,IMPGSL1,1990]
      1.30802532998        V_EmissionActivityByPeriodAndProcess[utopia,1990,co2,IMPHCO1,1990]
      0.4                  V_EmissionActivityByPeriodAndProcess[utopia,1990,nox,TXD,1970]
      0.2                  V_EmissionActivityByPeriodAndProcess[utopia,1990,nox,TXD,1980]
      3.1                  V_EmissionActivityByPeriodAndProcess[utopia,1990,nox,TXG,1970]
      1.5                  V_EmissionActivityByPeriodAndProcess[utopia,1990,nox,TXG,1980]
      2.45492240025        V_EmissionActivityByPeriodAndProcess[utopia,2000,co2,IMPDSL1,1990]
      1.9610389499999998   V_EmissionActivityByPeriodAndProcess[utopia,2000,co2,IMPGSL1,1990]
      7.7428385896         V_EmissionActivityByPeriodAndProcess[utopia,2000,co2,IMPHCO1,1990]
      0.20000000000000004  V_EmissionActivityByPeriodAndProcess[utopia,2000,nox,TXD,1980]
      1.5599999999999998   V_EmissionActivityByPeriodAndProcess[utopia,2000,nox,TXD,2000]
      1.5                  V_EmissionActivityByPeriodAndProcess[utopia,2000,nox,TXG,1980]
      4.54                 V_EmissionActivityByPeriodAndProcess[utopia,2000,nox,TXG,2000]
      5.453948355          V_EmissionActivityByPeriodAndProcess[utopia,2010,co2,IMPDSL1,1990]
      2.25                 V_EmissionActivityByPeriodAndProcess[utopia,2010,co2,IMPGSL1,1990]
      9.043060113          V_EmissionActivityByPeriodAndProcess[utopia,2010,co2,IMPHCO1,1990]
      0.7799999999999999   V_EmissionActivityByPeriodAndProcess[utopia,2010,nox,TXD,2000]
      3.98                 V_EmissionActivityByPeriodAndProcess[utopia,2010,nox,TXD,2010]
      2.27                 V_EmissionActivityByPeriodAndProcess[utopia,2010,nox,TXG,2000]
      4.66                 V_EmissionActivityByPeriodAndProcess[utopia,2010,nox,TXG,2010]
